BIOSAMPLE GOLD ID,BIOSAMPLE NAME,latitude,longitude,_error
Gb0137821,"Permafrost microbial communities from Nunavut, Canada - A15_5cm_18M",NA,NA,could not convert string to float: 'NA'
Gb0137822,"Permafrost microbial communities from Nunavut, Canada - A20_5cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137823,"Permafrost microbial communities from Nunavut, Canada - A20_5cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137824,"Permafrost microbial communities from Nunavut, Canada - A21_5cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137825,"Permafrost microbial communities from Nunavut, Canada - A23_5cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137826,"Permafrost microbial communities from Nunavut, Canada - A24_5cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137827,"Permafrost microbial communities from Nunavut, Canada - A26_5cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137828,"Permafrost microbial communities from Nunavut, Canada - A28_5cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137829,"Permafrost microbial communities from Nunavut, Canada - A3_5cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137830,"Permafrost microbial communities from Nunavut, Canada - A3_5cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137831,"Permafrost microbial communities from Nunavut, Canada - A3_5cm_18M",NA,NA,could not convert string to float: 'NA'
Gb0137832,"Permafrost microbial communities from Nunavut, Canada - A30_5cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137833,"Permafrost microbial communities from Nunavut, Canada - A34_5cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137834,"Permafrost microbial communities from Nunavut, Canada - A35_5cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137835,"Permafrost microbial communities from Nunavut, Canada - A35_5cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137836,"Permafrost microbial communities from Nunavut, Canada - A39_5cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137837,"Permafrost microbial communities from Nunavut, Canada - A7_5cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137838,"Permafrost microbial communities from Nunavut, Canada - A10_65_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137839,"Permafrost microbial communities from Nunavut, Canada - A10_65cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137840,"Permafrost microbial communities from Nunavut, Canada - A15_65cm_18M",NA,NA,could not convert string to float: 'NA'
Gb0137841,"Permafrost microbial communities from Nunavut, Canada - A20_65cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137842,"Permafrost microbial communities from Nunavut, Canada - A20_65cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137843,"Permafrost microbial communities from Nunavut, Canada - A21_65cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137844,"Permafrost microbial communities from Nunavut, Canada - A23_65cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137845,"Permafrost microbial communities from Nunavut, Canada - A24_65cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137846,"Permafrost microbial communities from Nunavut, Canada - A28_65cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137847,"Permafrost microbial communities from Nunavut, Canada - A3_65cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137848,"Permafrost microbial communities from Nunavut, Canada - A3_65cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137849,"Permafrost microbial communities from Nunavut, Canada - A3_65cm_18M",NA,NA,could not convert string to float: 'NA'
Gb0137850,"Permafrost microbial communities from Nunavut, Canada - A30_65cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137851,"Permafrost microbial communities from Nunavut, Canada - A34_65cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137852,"Permafrost microbial communities from Nunavut, Canada - A35_65cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137853,"Permafrost microbial communities from Nunavut, Canada - A35_65cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137854,"Permafrost microbial communities from Nunavut, Canada - A39_65cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137855,"Permafrost microbial communities from Nunavut, Canada - A7_65cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137856,"Permafrost microbial communities from Nunavut, Canada - A10_80_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137857,"Permafrost microbial communities from Nunavut, Canada - A10_80cm_6M",NA,NA,could not convert string to float: 'NA'
